Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,LCC,HALSTAD,DIT,NOC,RFC,ClassDataShouldBePrivate,ComplexClass,FunctionalDecomposition,GodClass,SpaghettiCode,MAINTAINABILITY
236bf03544b5d1d74866e08811b9cc5897df8d4b,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
c1b0b5f9b7a96b56c2e4ea8cca5e517f42e49188,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
c1b0b5f9b7a96b56c2e4ea8cca5e517f42e49188,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,1,FALSE
c1b0b5f9b7a96b56c2e4ea8cca5e517f42e49188,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
c1b0b5f9b7a96b56c2e4ea8cca5e517f42e49188,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
e22dc37d351db1da4562fd6ed71892224a18afb4,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
e22dc37d351db1da4562fd6ed71892224a18afb4,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
e22dc37d351db1da4562fd6ed71892224a18afb4,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
e22dc37d351db1da4562fd6ed71892224a18afb4,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
56fa76181776dbd320ce47e1f6606d6d4befab37,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
56fa76181776dbd320ce47e1f6606d6d4befab37,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
56fa76181776dbd320ce47e1f6606d6d4befab37,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
56fa76181776dbd320ce47e1f6606d6d4befab37,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
94cb5bcaf6086b342506dfd0cf9d62460620b118,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
94cb5bcaf6086b342506dfd0cf9d62460620b118,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
94cb5bcaf6086b342506dfd0cf9d62460620b118,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
94cb5bcaf6086b342506dfd0cf9d62460620b118,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
2649852db7ece3038d02388b4ca458b80cc81d87,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
2649852db7ece3038d02388b4ca458b80cc81d87,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
2649852db7ece3038d02388b4ca458b80cc81d87,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
2649852db7ece3038d02388b4ca458b80cc81d87,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
7f14d75153bf4fd53730327c74a5917eeccd4a86,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
7f14d75153bf4fd53730327c74a5917eeccd4a86,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
7f14d75153bf4fd53730327c74a5917eeccd4a86,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
7f14d75153bf4fd53730327c74a5917eeccd4a86,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
72bce0d0d141659a11f535b6ee3f903e6954ec3b,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
