Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,LCC,HALSTAD,DIT,NOC,RFC,MESSAGE
7fa6126b1cd793e6069b232e14518ed448a8c799,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,update visualvm to build 1046
79d9269cdb022c34e79e144771d4dbf767146b08,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Bump overlay version
b0c1ad03bbbbe48b8c6c3a7b6d70f03343a3589a,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Improve jsonnet abstractions in benchmark command generation
5b5f27d3bba26d8d90b37102ebe193ceaa14c8f1,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix reviewer comments.
ae4ac1d6b0901607f85f7e733bb28eb6a7c54cd3,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Remove unused ASM dependency from polyglot.
eba59d22d017912362a24529e463801fdf2443f9,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Add missing boundaries in LLVMInteropType.
825d868ccfe9ac134aff8b0ecf5382aa344a11f3,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Make spotbugs happy.
d20b27a84716d4f222ef836b507c1893af55064b,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Remove accidentially added file.
7121d7b42986c0df67857a32a3bfeaea5ec269f6,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Use correct expected exception in C++ unittests.
eeaf568983d1ffae58a6018dc77b223726fb8195,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix copyright headers.
d457f4478d436d93462b9f1ff75b9cc782b40505,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Review comments
a2003e0d7285a6502a3f2eb674d85f28a7e72391,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Update changelog
ce9534348e3ea506344905bc3489c100f0c86ce9,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Add repo config for native image
a2f6a051450db48610976ce6965b65254549e867,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix HostClassCache must not refer to HostLanguage to make the engine collectible if the HostAccess is still alive.
af3ccbc9b5ec2952c50bf7a21e12ddce6aea9728,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix wrong class loader was used for host interop.
5b09657da2fdfa168d709ce556e3d620ffcddecc,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix invalid comment.
e9166a984e4c73087713d79fdf0fa7d5e67f16fc,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-30891] Support class predefinitions."
9d194b69031d393e7e743e147e06002743dcb089,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Remove unused method.
55945834efb1f9280829c0fb57de3ac835e499d4,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Return RTLD_DEFAULT as the namespace handle in dlsym + dlopen libdl.so.2 (full name).
b105d5dc9957cbc15bdb5735ff5cc549cc012c02,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Calling of source functions Simplified.
0f3b5121c5df6ba44933c01000a56e2171ffe74c,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31841] Prevent erroneous removal of exception branches when the exception object isn't thrown."
bccb76653e21816344ba893c25983a31868be461,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31843] Do not store System.out, .err, or .in as final."
cce8608293827ae63ec4416c60b723f5b1652a78,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31951] Tweak Thread#wakeup spec to use a reasonable amount of Thread#wakeup calls"
96674955c6e3e3e36d3045e99f324e2f5c528aad,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31847] Fix problems with NFI in context pre-initialization."
9540432a04f29d60da39211615086052c1ed3360,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-30472] [GR-27863] [GR-18878] [GR-30937] [GR-30728] [GR-30833] [GR-30804] Managed pthreads & synchronization primitives."
